symbol,strategy,direction,entry_datetime,exit_datetime,exit_reason,pnl_net,r_multiple,capital_after
ADA/USDT:USDT,v1_sniper,long,2026-04-04 08:00:00+00:00,2026-04-04 08:45:00+00:00,stop_loss,-2.4004743027147715,-1.2002371513573857,372.75027050418254
HYPE/USDT:USDT,v1_sniper,long,2026-04-04 15:15:00+00:00,2026-04-04 16:15:00+00:00,take_profit,3.625808167008628,1.812904083504314,376.3760786711912
ADA/USDT:USDT,v1_sniper,long,2026-04-04 15:00:00+00:00,2026-04-04 19:00:00+00:00,take_profit,3.68826866288075,1.844134331440375,380.06434733407195
SOL/USDT:USDT,v1_sniper,long,2026-04-04 15:00:00+00:00,2026-04-05 03:00:00+00:00,time_exit,0.6180163180694956,0.3090081590347478,380.6823636521415
ADA/USDT:USDT,v1_sniper,long,2026-04-05 15:30:00+00:00,2026-04-05 23:00:00+00:00,take_profit,3.7472420285794366,1.8736210142897183,384.4296056807209
SOL/USDT:USDT,v1_sniper,long,2026-04-05 15:30:00+00:00,2026-04-05 23:15:00+00:00,take_profit,3.773381365348987,1.8866906826744936,388.2029870460699
ETH/USDT:USDT,v1_sniper,short,2026-04-06 13:30:00+00:00,2026-04-06 14:00:00+00:00,stop_loss,-2.4991450729163134,-1.2495725364581567,385.7038419731536
BNB/USDT:USDT,v1_sniper,long,2026-04-07 08:00:00+00:00,2026-04-07 09:30:00+00:00,take_profit,3.4602898039885863,1.7301449019942932,389.1641317771422
SOL/USDT:USDT,v1_sniper,long,2026-04-07 08:00:00+00:00,2026-04-07 10:30:00+00:00,stop_loss,-2.5114585772494444,-1.2557292886247222,386.6526731998927
BTC/USDT:USDT,v1_sniper,long,2026-04-07 08:00:00+00:00,2026-04-07 10:30:00+00:00,stop_loss,-2.4281763913863097,-1.2140881956931548,384.2244968085064
ETH/USDT:USDT,v1_sniper,long,2026-04-07 08:15:00+00:00,2026-04-07 10:30:00+00:00,stop_loss,-2.4067016612913257,-1.2033508306456628,381.81779514721507
NCSISP5002USD/USDT:USDT,v1_sniper,long,2026-04-07 08:15:00+00:00,2026-04-07 10:45:00+00:00,stop_loss,-2.6096633294603864,-1.3048316647301932,379.2081318177547
BNB/USDT:USDT,v1_sniper,short,2026-04-07 13:30:00+00:00,2026-04-07 14:00:00+00:00,take_profit,3.2341062113546646,1.6170531056773323,382.4422380291094
NCSKAMZN2USD/USDT:USDT,v1_sniper,short,2026-04-07 13:45:00+00:00,2026-04-07 14:00:00+00:00,take_profit,3.542139908578418,1.771069954289209,385.9843779376878
HYPE/USDT:USDT,v1_sniper,short,2026-04-07 13:30:00+00:00,2026-04-07 17:15:00+00:00,stop_loss,-2.3673732670762035,-1.1836866335381018,383.61700467061155
BNB/USDT:USDT,v1_sniper,long,2026-04-07 15:30:00+00:00,2026-04-07 17:30:00+00:00,take_profit,3.6866955750331405,1.8433477875165702,387.3037002456447
HYPE/USDT:USDT,v1_sniper,short,2026-04-08 14:15:00+00:00,2026-04-08 18:15:00+00:00,take_profit,3.7912057471829983,1.8956028735914991,391.09490599282765
NCCO1OILBRENT2USD/USDT:USDT,v1_sniper,long,2026-04-08 14:30:00+00:00,2026-04-08 19:15:00+00:00,take_profit,3.8527144644029883,1.9263572322014941,394.94762045723064
NCSKAMZN2USD/USDT:USDT,v1_sniper,short,2026-04-08 13:45:00+00:00,2026-04-09 01:45:00+00:00,time_exit,0.640138239574002,0.320069119787001,395.58775869680466
ETH/USDT:USDT,v1_sniper,long,2026-04-09 08:45:00+00:00,2026-04-09 12:15:00+00:00,stop_loss,-2.53348869576848,-1.26674434788424,393.0542700010362
BNB/USDT:USDT,v1_sniper,long,2026-04-09 08:45:00+00:00,2026-04-09 13:00:00+00:00,take_profit,3.1816580448731715,1.5908290224365857,396.23592804590936
HYPE/USDT:USDT,v1_sniper,short,2026-04-09 13:30:00+00:00,2026-04-09 14:45:00+00:00,stop_loss,-2.455801910841517,-1.2279009554207585,393.78012613506786
ETH/USDT:USDT,v1_sniper,short,2026-04-09 13:45:00+00:00,2026-04-09 14:45:00+00:00,stop_loss,-2.4310790211478075,-1.2155395105739037,391.34904711392005
NCSINASDAQ1002USD/USDT:USDT,v1_sniper,short,2026-04-09 14:30:00+00:00,2026-04-09 15:15:00+00:00,stop_loss,-2.665618911245253,-1.3328094556226264,388.6834282026748
BNB/USDT:USDT,v1_sniper,short,2026-04-09 13:45:00+00:00,2026-04-09 15:30:00+00:00,stop_loss,-2.727135984064928,-1.363567992032464,385.95629221860986
SOL/USDT:USDT,v1_sniper,long,2026-04-09 15:00:00+00:00,2026-04-09 15:30:00+00:00,take_profit,3.6168091020837294,1.8084045510418647,389.5731013206936
